User,Tweets,Tweets_with_Emoji,Gender
1893012709,3204,25,female
371634828,104,41,female
3323273855,139,38,female
42790388,687,29,female
903744019628527616,1158,80,male
3002758080,1033,111,female
604189838,25,12,female
70187093,119,17,female
814175634561835008,2096,5,female
1648661190,2536,115,male
870639749999894529,416,344,male
162634096,1709,474,female
68714859,552,16,male
801637318880727040,82,1,male
115711124,524,76,female
892418954,32,19,female
1909658130,1222,56,male
4854132027,1501,1094,female
916854076289282049,1800,457,female
19212258,344,2,male
957916253808607232,28,14,male
4238504713,228,128,female
762124366754746369,199,70,female
262779886,303,140,male
329435658,1539,232,female
2843658881,51,35,female
384586630,346,188,female
625848210,1692,11,male
4912985093,1425,81,male
1488287246,128,50,female
265673211,910,116,male
50137792,952,124,female
898825844,727,46,female
3011611751,165,73,female
2418249512,698,8,male
827592607714807808,1840,50,female
954345724053000193,31,14,male
3371452119,637,93,female
419167287,998,159,female
35009743,1465,817,male
167712813,1984,577,female
2829275130,175,2,male
825392772177866752,1249,430,female
832971174971797504,66,30,male
797412505056317440,730,221,female
532017837,1058,57,female
3311367927,239,53,female
938048622763094016,777,10,male
2552736471,1005,179,male
970166924423262208,7,2,male
906250620,88,18,female
931189302578511872,40,1,male
762852764741357568,1578,232,female
1005293004,283,90,female
918800874645856256,1830,567,male
178164849,726,38,male
126123856,965,139,female
1676165677,227,89,female
214123881,366,259,male
948317569542508544,2589,60,female
3253221030,105,74,female
753062502875947008,197,39,female
3291709243,1210,137,female
419619470,827,570,female
3073070005,41,12,male
738080989486977024,28,7,male
2583209908,939,395,female
729409912963502081,972,471,female
948393261940596737,132,38,female
968953336471826433,245,15,female
2500978082,759,192,male
2898379779,533,107,female
307774780,945,307,female
2473438856,1188,52,male
474068520,1684,171,male
921086649483882496,977,133,female
332274150,172,4,male
928847305,1111,563,male
2491820936,114,20,female
95146712,473,66,male
726751921520840706,420,32,male
2329108714,2211,873,female
752465734836555776,2414,1089,male
395103305,2550,447,male
947774254061408256,697,188,male
516818953,268,168,female
919927744506617856,5,1,male
877007659362390016,29,17,female
960733096659140608,63,51,male
2961162861,452,121,female
247217180,258,100,female
1674315427,141,72,male
2265575935,629,107,male
712859464043524096,231,71,female
450192360,389,142,female
868923089165406208,210,55,female
878435508417953792,463,92,male
461793455,885,263,female
431705485,59,25,female
719348110,2463,1511,female
4869675245,850,428,male
868104477793845249,245,63,male
3472531055,329,16,male
840248121649221633,1286,489,female
318957153,67,1,female
925764598204002305,326,153,female
1381930843,26,5,female
2876945328,425,237,female
880430884922441729,1673,720,male
453562335,6,6,female
221085399,399,80,male
895783602839015424,201,89,female
802619411559514113,349,6,female
856997804,3,3,female
739424178772815876,2228,210,male
839927272295497730,848,116,female
169499588,1378,169,female
756760164,132,4,female
518091695,2354,626,male
1179538909,92,34,female
69708775,919,135,female
61848222,1941,800,female
431464412,320,6,male
960354403805839360,6,1,female
145960332,319,15,male
196812101,539,74,female
894017417218637825,3216,10,female
813329095899709441,24,2,female
827106981047631872,153,10,male
2262405615,3231,3,male
876949500862115841,161,61,male
