User,Tweets,Tweets_with_Emoji,Gender,Race
221462702,3,0,male,white
318514807,9,1,,
97891136,671,21,,
964216888556388354,0,0,female,black
318031078,234,52,,
904972859260276736,4,0,male,asian
972025773455544320,0,0,,
4729380733,754,75,,
165392024,631,6,,
3141215013,3225,50,,
282189114,37,0,female,
836514276865110016,1731,269,,
783243907874172928,731,47,,
321636667,483,0,male,
877137822,0,0,,
764476927138639873,57,14,,
4564356511,2721,1039,,
1576392918,1612,100,male,
713224391836831745,2009,829,,
2836010366,1839,1031,,
916703610259607552,1457,722,male,black
1415611506,0,0,female,white
787456682129444864,97,11,,
722025585757786112,1443,215,male,asian
896621860627988481,1698,40,,
786257379151065093,32,4,,
3257808180,3240,0,,
4650112231,78,12,,
2813041213,0,0,,
844014079,19,4,male,white
2616971934,626,93,,
346202106,355,75,female,white
831177788,847,0,female,black
754600664597012480,252,243,female,
957978505052020737,3219,0,,
875959583642079232,0,0,,
2953796630,64,26,,asian
2695717449,450,146,female,
770547596771360768,87,66,,
1167312085,8,1,,
905437437584912385,589,197,,
83710870,3264,4,,
502297556,48,1,female,white
123494014,0,0,female,
2489977820,58,12,male,white
754629405180252160,70,11,,
813003633579020288,0,0,male,asian
794179218149998592,1232,151,,
798894868328226816,2850,382,male,white
710887068700909568,105,25,male,
3525274395,7,3,,
2398239427,0,0,female,white
326617501,50,0,,
2306461682,109,6,,
2174300417,3118,1351,,
467038656,307,15,male,white
311925681,276,105,,
281955812,0,0,,
855398021617430528,0,0,,
788042648854663176,0,0,female,
518669654,0,0,,
877582899205328896,0,0,female,
945754140143005697,0,0,,
967030417701285888,0,0,,
962740874462588928,141,17,male,hispanic
136349615,255,10,,
837570114069241856,37,23,female,asian
814039142967320576,0,0,male,
2345046951,0,0,female,white
922077523,590,100,male,
208258302,307,97,female,white
814059869460316162,308,0,,
851175276683853828,569,206,,
2917517638,1587,82,,
2355959222,603,190,male,
929662019103367169,0,0,male,asian
140556152,74,7,male,white
2222510005,0,0,,
4055157105,492,14,,
888139932165955591,2941,1,,
95112566,3238,33,male,white
895502154416476161,541,0,male,white
272093927,973,81,male,black
1279569715,382,15,,
127237591,1396,84,female,white
108796070,764,371,,
761931313360150529,648,8,female,asian
927103352252530688,365,84,female,white
708195343515516929,0,0,male,
403122747,0,0,female,white
743211695515049986,476,172,female,black
967665110566293504,0,0,,
864416895931473920,3236,0,,
388913167,2210,25,,
892225277648150528,2892,51,,
2890131380,467,105,female,white
962951606441357312,3028,63,,
8734742,952,43,,
964476297333231616,0,0,male,asian
789760126404202497,1030,740,female,hispanic
703998837812129792,219,29,male,asian
406857765,346,182,,
832921767576469505,332,38,,
1360529966,2656,210,female,white
2391853952,1322,329,female,white
930064489034190848,5,0,female,asian
905664332373016577,654,0,,
2826193829,0,0,female,white
738911252802457600,531,113,,
797720982915952640,601,242,male,
2454239509,152,53,,
946723197961101312,0,0,,
825158764399644672,409,0,,
2328967965,3242,0,,
949686158237323264,2839,93,,
971506634580201473,0,0,,
3746396599,106,11,male,
939583375823826946,2675,0,female,white
1957197271,84,3,,
890794972244434944,171,0,,
2830582484,526,7,,
283017399,2889,515,male,asian
765171024644022273,15,1,female,
936734192129503234,45,14,female,white
949015312648859653,114,17,male,white
254322966,1555,0,male,other
906236101337198592,0,0,male,
2485250971,1501,0,,
3016427952,413,165,female,black
911311269415804928,137,34,,
719939666200424451,1647,622,,
164978450,0,0,,
87548348,335,24,female,
911492851837452288,357,216,,
702510331654897665,0,0,,
865925112242946048,70,0,,
2376652640,272,32,,
323170141,792,118,,
3010271573,213,2,,
4144132636,695,202,female,white
935687141786570752,0,0,,
4632428482,657,0,male,black
809088535,462,1,male,white
965569237669556224,297,45,,
911919813567684608,1605,145,female,white
849581117413834752,25,4,male,asian
874450629766336516,0,0,,
904048773520777218,1935,0,,
971871565049749504,0,0,,
608646193,137,82,male,white
4784988554,0,0,female,black
856485683711496192,220,36,male,asian
112862578,0,0,female,asian
1107356808,28,3,,
727508855358287873,638,166,male,asian
212537557,1001,131,,
837771042571505664,0,0,,
4144839255,363,92,female,
588175350,0,0,,
929814442837147659,86,2,female,white
851095116613795841,205,2,male,asian
89809238,806,44,female,asian
904332094641291264,2914,388,,
2326178355,1770,333,female,white
1581245742,9,1,,
901728063788007425,0,0,,
2179709599,442,61,,
9027312,604,213,female,white
706197658528911360,92,14,female,white
4245810826,1183,140,female,hispanic
127795272,381,181,,
1324477033,3,0,male,
899761874073530369,0,0,female,black
971417583902756864,253,1,,
362358632,925,389,,
2919799771,64,1,,
2608717122,698,35,,
952334858952454144,2,0,female,white
797682307,0,0,,
715265750865485824,0,0,,
40643255,191,1,,
572125957,174,0,male,white
724833642028109824,24,0,female,asian
2747075825,99,3,male,black
130315077,2829,10,,
851115368,0,0,female,hispanic
722216290161704960,0,0,,
830978665139761153,0,0,,
831669930323898368,1012,31,,
962173958387777536,1197,218,female,asian
172629642,71,13,male,
74130131,340,29,female,white
810632589518184448,0,0,female,white
893589063109705728,0,0,female,asian
4442112557,734,734,,
921851965310676992,1049,258,male,asian
946557829934206976,0,0,male,hispanic
889661275059482624,95,5,male,hispanic
941237922669268992,53,0,,
604968639,753,91,male,white
330167845,3215,0,,
973774226023993344,0,0,,
1192242848,0,0,,
733506544042532866,59,12,,
1244500537,522,21,female,white
849697916503588864,424,30,,
741625480609202176,0,0,,
3911748860,269,90,male,asian
232739928,319,239,female,black
3974653457,229,44,female,
140675345,54,0,male,asian
2283693435,89,2,,
753631820424642563,3253,3250,female,white
743997602211848194,16,1,male,asian
1566428850,0,0,,
869066292027809793,0,0,,
3020774310,156,1,,
943496762781712384,0,0,,
192123031,222,30,,
947717897434075136,33,2,,
757442359206383616,1070,1048,,
2798787860,409,215,female,black
769127230819663872,0,0,male,white
814084851087249408,0,0,male,asian
994182446,0,0,female,white
860813797425950720,1721,11,,
839408047466364929,0,0,,
826844866336407552,0,0,male,asian
873769435634577408,1271,73,,
1521159439,324,39,female,
2523981096,81,1,,
896481136439906304,9,3,female,hispanic
950783394153033730,2246,96,female,asian
944213191600607232,0,0,,
3135310927,0,0,,asian
2945019202,32,21,,
906760003897327617,0,0,,
601533463,0,0,,
718843085896048641,319,131,female,
4801106538,0,0,male,asian
578677705,701,53,female,white
851747352448782337,207,16,,
196209861,1193,15,,
829816396469194752,159,12,,
307470253,2501,2,,
896695811504865280,439,0,,
794059481738973184,1268,30,,
1059605660,0,0,,
730263505,0,0,,
950872538296578049,1506,141,female,white
889498869645455361,165,0,,
248754436,0,0,male,white
4831182441,0,0,,
281682435,328,84,female,white
575618555,7,0,female,white
1321494469,130,8,female,white
870202688,0,0,,
841535502343790592,112,6,,asian
255194500,1391,129,male,white
3389804685,2866,2,,
3140584282,201,170,,
218797404,0,0,female,white
894710348791521280,1986,1798,,
788780267309789184,0,0,,
921099719203463168,74,12,female,white
941179490029338624,68,26,male,asian
770927395922644992,2027,124,male,white
1171475587,3258,0,,
471638871,0,0,female,asian
915092982226755584,0,0,,
365233395,1019,108,,
2743036505,93,23,male,black
839867802508918784,0,0,female,asian
820290579984547842,864,274,,
28965328,820,155,female,white
473406967,1,0,male,white
1550913943,32,2,male,hispanic
761881109470679040,88,28,,
2529239858,0,0,female,asian
2432941712,126,0,,
546240695,217,15,,
3010903690,239,115,,
452713352,139,99,female,black
930795162564837376,0,0,male,
3677145503,604,212,female,
959935196186505217,1982,307,,
822795788132593664,0,0,,
3012300868,1898,322,female,
914184586061475841,0,0,male,asian
21174731,8,2,,
120297377,3234,0,,
2683657537,0,0,,
712815334277951488,1018,234,,
947846151411081222,0,0,male,white
2342996503,115,0,,
908891325298118656,389,10,,
942585149363048450,0,0,,
802784655434911744,3246,252,,
1704001651,3237,18,,
3310148129,0,0,female,black
2575053031,10,0,female,
3882751454,3252,0,female,asian
3240754759,619,70,,
2941250366,266,98,,
2926857803,577,80,female,
817012084529512448,0,0,male,asian
371414543,353,102,female,
4732902565,2003,29,,
953620573069893638,0,0,,
62532771,3266,2,,
285185536,21,1,,
1949405972,17,9,,
805221483077308416,0,0,female,hispanic
960502043440922624,0,0,,asian
815111956520574977,1175,868,female,asian
2984975709,79,0,male,asian
969210866984865793,807,48,male,asian
221981925,913,282,male,black
3186489388,192,138,female,black
875554781141491712,2089,0,,
964051940836491266,3169,2776,,
133407210,186,81,,
2830615851,1462,67,,
821437910616600577,3209,1,male,hispanic
3353965353,815,87,female,white
785190191493373952,614,145,,
811957353243406336,0,0,,
801824348285861888,680,1,male,white
2322222146,52,12,male,asian
822691577617186816,0,0,male,asian
2918610358,19,1,female,
334618762,1085,9,,
1636771795,0,0,female,asian
3018361234,11,0,,
809623451430518785,725,104,,
969860049895014400,455,85,female,asian
2393735490,2427,45,,
2546472605,0,0,,
4697334084,0,0,female,white
747366041731268608,2468,288,,
2807883894,49,4,female,white
772753001526075392,0,0,,
3279278990,67,25,female,hispanic
524467582,402,63,male,white
874674798890110977,3241,402,,
909148087297376256,0,0,,
885935787665223680,139,29,male,
310561410,1327,452,,
876246604260311041,5,0,female,white
828171747664941060,0,0,,
111645984,0,0,male,white
712999829966708736,201,40,,
322426082,1584,63,male,white
1627582562,1086,234,,
822507028832731137,448,231,female,
955268080229339136,0,0,,
753741132425822208,327,7,,
886018097936646144,0,0,male,asian
759212709758009344,230,16,,
859780089977782277,1242,42,,
172544762,1084,33,male,hispanic
2420648796,0,0,,
4091987844,3100,2511,male,asian
442376133,7,0,female,white
825224939930284033,0,0,male,black
596348627,156,3,,
485451823,377,240,female,
3440981352,51,24,,
1646067438,0,0,female,hispanic
58575923,122,0,,
787545145516265473,138,33,,
914518092578983936,426,8,,
3890891894,0,0,,
818361744280141824,12,9,male,white
2350812494,599,28,,
827059032384901121,0,0,,
952916410681962496,221,109,,
146713837,196,123,female,white
815974818478690304,0,0,female,black
