	User	Tweets	Tweets_with_Emoji	Race
18371	24415374	15	1	white
18463	282526000	37	27	hispanic
18477	18075604	2252	234	white
18512	22238493	639	289	white
18641	29204859	267	5	white
18688	334283253	96	1	white
18774	53326697	75	2	white
18837	227594270	915	635	white
18952	1344512198	13	4	white
19015	48433406	1032	22	white
19119	1039482823	201	79	black
19390	146574586	184	35	white
19412	793577973450477568	4	2	white
19449	365805093	9	7	white
19459	15418901	660	289	white
19516	19706446	233	31	white
19638	2176165181	209	70	black
19675	302675047	74	15	white
19689	50505401	118	10	white
19709	343303147	1137	539	white
19802	3044583503	32	7	black
19821	2757403748	244	9	white
19824	848840857	86	38	white
19851	174816795	17	1	black
19868	443148838	133	36	white
19891	370021052	50	1	white
19947	706383317231407104	90	16	white
19950	541632166	71	49	black
20034	247932127	1289	651	black
20128	4149674240	165	26	white
20141	276093472	410	202	black
20153	802427577138868224	215	129	black
20222	44777827	1910	882	black
20277	45536141	206	158	black
20344	766591812228251654	111	54	black
20448	975451034062675971	128	76	black
20529	978980657345986561	98	32	white
20552	2612355084	2	1	black
20826	173393476	32	23	black
20937	853618248511836164	1773	1273	black
21000	762699066941837316	1043	305	black
21075	862034947909070849	222	176	black
21099	2286920626	261	45	black
21131	563841224	226	61	black
21206	40874292	9	4	white
21299	904522092	6	4	black
21404	135628777	46	10	white
21411	702976934167355395	1795	1042	black
21420	41549288	940	634	black
21464	969260209146421248	4	3	black
21480	762633880293769216	744	559	black
21535	2739795291	131	84	black
21551	204249447	24	3	black
21569	895628353998397441	25	16	black
21768	913034204	35	9	black
21824	897440106092670976	24	11	black
21843	720631699315535872	154	16	black
21882	947317469907161089	5	1	black
21889	743206177291517953	36	8	black
21927	734703256191029248	613	308	black
22023	723466154182848512	301	236	black
22035	2766168303	101	69	black
22088	3034124842	174	87	black
22096	899448570	22	8	black
22104	2604096189	35	13	black
22114	272028808	516	258	black
22139	3245485043	270	82	black
22242	61229842	1052	412	black
22261	909574056336347136	205	2	black
22278	239266552	360	10	black
22300	924743055063830528	86	12	black
22317	846443445673701376	114	43	black
22349	622490597	109	38	black
