,User,Tweets,Tweets_with_Emoji,True_Gender
14300,281487920,58,15,female
14303,297613294,81,2,male
14345,209933217,286,80,male
14365,24433447,79,48,female
14373,1317153854,224,17,female
14391,857870017,92,6,male
14435,794615155,143,12,male
14459,47417316,103,22,female
14520,3305452377,12,2,female
14637,526627722,365,7,male
14696,456605339,51,21,female
14701,183110493,109,14,female
14775,7.96833757366022E+017,331,164,female
14827,862938139,37,34,female
14844,1308740982,55,16,male
14893,2345740677,22,6,female
15008,1040377334,1021,334,male
15038,29479432,74,8,female
15179,20210900,359,18,male
15235,522689210,2,1,male
15270,8.2861581108242E+017,125,3,male
15273,302777012,41,27,female
15345,70936068,795,56,male
15442,3141929321,527,182,female
15465,8.48142071223464E+017,522,167,female
15484,22127241,72,37,male
15562,592062717,287,17,female
15591,8.3555003824382E+017,139,39,female
15627,124265735,15,4,female
15638,23432417,34,7,male
15649,57411869,116,27,female
15651,36635261,21,3,female
15676,743213892,99,4,male
15684,66983633,27,2,male
15814,380954145,93,17,female
15900,2600951416,1264,3,male
15964,235722307,254,64,male
15978,60632433,20,5,male
16013,20374935,2643,200,male
16026,20426856,161,31,male
16052,8.64566700209033E+017,1739,58,female
16064,22645933,3,1,male
16099,14361797,440,2,female
16197,235679864,122,13,male
16332,7.35484922714948E+017,27,4,female
16374,505911710,165,32,male
16431,8.12400174337294E+017,262,196,female
16560,50858099,1472,315,male
16583,3043562658,142,8,male
16594,253733982,19,3,female
16682,189477465,85,9,male
16700,1630820010,353,225,female
16717,401975703,25,14,male
16781,9.2352615450984E+017,438,119,male
16794,21916933,566,143,female
16812,48009600,269,97,female
16816,514652665,2006,593,male
16818,251645332,7,2,female
16844,43524001,1440,208,female
16845,7.8882396317877E+017,10,7,female
16888,1893879524,40,12,female
16898,21287638,92,28,male
16922,493549206,49,10,male
16977,28078435,461,95,female
16987,72410263,1439,540,female
17011,486021855,23,1,female
17065,261666768,6,3,female
17074,555774953,859,50,female
17075,108150620,7,1,male
17180,386951183,355,26,female
17262,46185658,1469,456,female
17361,106879410,131,2,male
17376,370586455,42,2,male
17496,264409868,293,95,female
17511,429312933,247,45,male
17571,367922560,176,131,female
17573,9.66219073897067E+017,64,50,female
17577,60378443,802,94,female
17638,24275344,396,168,female
17648,898315586,42,11,male
